control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W1,1,wdrpp_upper,-1.324039150894647,0.5354486891784285
zero,W1,2,wdrpp_upper,-1.1517007413789235,0.20529402655721066
zero,W1,3,wdrpp_upper,-1.774536061965076,0.8787160553768241
zero,W1,4,wdrpp_upper,-1.5156598865974202,0.2642394118189348
zero,W1,5,wdrpp_upper,-1.5997070487085157,0.050644266587221785
zero,W1,6,wdrpp_upper,-2.1249898480176928,0.8428150261026874
zero,W1,7,wdrpp_upper,-2.567063384963679,0.048151805686663156
zero,W1,8,wdrpp_upper,-1.564815947884151,0.08122869978802179
zero,W1,9,wdrpp_upper,-1.4752059320953967,0.40677142776144926
zero,W1,10,wdrpp_upper,-1.5327134980225878,0.333693815201482
zero,W1,11,wdrpp_upper,-1.147238290423381,0.1653356081764196
zero,W1,12,wdrpp_upper,-1.0502233403894274,0.40708275896203006
zero,W1,13,wdrpp_upper,-1.1823948882976536,0.1617990517095187
zero,W1,14,wdrpp_upper,-1.7317115896347977,0.17716074261412096
zero,W1,15,wdrpp_upper,-1.2885728961694545,0.05367006831244699
zero,W1,16,wdrpp_upper,-0.9577083126177091,0.13076129681320361
zero,W1,17,wdrpp_upper,-1.476572276368461,0.09300386621284694
zero,W1,18,wdrpp_upper,-1.2061388281704546,0.17310980088573405
zero,W1,19,wdrpp_upper,-1.6754301744626865,0.317805036452873
zero,W1,20,wdrpp_upper,-1.8570493499337968,0.7202563917097262
zero,W1,21,wdrpp_upper,-1.4928617984391477,0.5813863817376773
zero,W1,22,wdrpp_upper,-1.3486353243039448,0.0656566690882808
zero,W1,23,wdrpp_upper,-2.0895649227009008,0.28345858857396933
zero,W1,24,wdrpp_upper,-1.984086942035221,0.20109790634300623
zero,W1,25,wdrpp_upper,-1.2882408854695302,0.23023569202727037
zero,W1,26,wdrpp_upper,-1.0858333796480302,0.17292897550408926
zero,W1,27,wdrpp_upper,-1.3452761519161816,0.3748109076797934
zero,W1,28,wdrpp_upper,-1.6028544870101058,0.5558831636599306
zero,W1,29,wdrpp_upper,-1.1648096258422886,0.2347154880560191
zero,W1,30,wdrpp_upper,-1.2358996681583758,0.39809508584188236
zero,W1,31,wdrpp_upper,-1.5229368430788779,0.5174949668012997
zero,W1,0,wdrpp_lower,-2.023518696078002,0.0
zero,W1,1,wdrpp_lower,-1.7497748873317982,0.050200041306608385
zero,W1,2,wdrpp_lower,-1.8084136184488222,0.04795344467759539
zero,W1,3,wdrpp_lower,-2.0547926813614255,0.13997024020343865
zero,W1,4,wdrpp_lower,-1.9814360811875076,0.03130044247291845
zero,W1,5,wdrpp_lower,-2.1323054466092346,0.021851911054249155
zero,W1,6,wdrpp_lower,-2.288420436853449,0.21724360857909794
zero,W1,7,wdrpp_lower,-2.2866864933808744,0.017623928610073274
zero,W1,8,wdrpp_lower,-2.124168411609202,0.004507941784802001
zero,W1,9,wdrpp_lower,-1.9018178598918805,0.06326222012549068
